Name of movie,Year of relase,Description,Watch time,movie rating,Metascore,votes,Gross collection
Training Day,2001,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,122 ,7.7,69,"409,380",76.63
Offenes Geheimnis,2018,"Laura, a Spanish woman living in Buenos Aires, returns to her hometown outside Madrid with her two children to attend her sister's wedding. However, the trip is upset by unexpected events that bring secrets into the open.",133 ,6.9,68,"32,335",2.66
Drive,I 2011,An action drama about a mysterious Hollywood stuntman and mechanic moonlighting as a getaway driver finding himself in trouble when he helps out his neighbor.,100 ,7.8,78,"595,491",35.06
American Hustle,2013,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia.",138 ,7.2,90,"462,267",150.12
Die Unfassbaren - Now You See Me,I 2013,"An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.",115 ,7.2,50,"620,745",117.72
Bullitt,1968,"An all-guts, no-glory San Francisco cop becomes determined to find the underworld kingpin that killed the witness in his protection.",114 ,7.4,81,"65,604",42.30
Brügge sehen... und sterben?,2008,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",107 ,7.9,67,"403,118",7.76
John Wick: Kapitel 3,2019,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",130 ,7.4,73,"305,772",171.02
"O Brother, Where Art Thou? - Eine Mississippi-Odyssee",2000,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",107 ,7.7,69,"298,353",45.51
Perfect World,1993,"Kidnapped boy Phillip Perry (T.J. Lowther) strikes up a friendship with his captor Butch Haynes (Kevin Costner): an escaped convict on the run from the law, while the search is headed up by honorable Texas Ranger ""Red"" Garrett (Clint Eastwood).",138 ,7.5,71,"77,271",31.16
Reservoir Dogs: Wilde Hunde,1992,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",99 ,8.3,79,"958,601",2.83
Spy Game - Der finale Countdown,2001,Retiring CIA agent Nathan Muir recalls his training of Tom Bishop while working against agency politics to free him from his Chinese captors.,126 ,7.1,63,"152,016",0.03
Donnie Brasco,1997,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",127 ,7.7,76,"291,392",41.91
Tricks,2003,A phobic con artist and his protégé are on the verge of pulling off a lucrative swindle when the former's teenage daughter arrives unexpectedly.,116 ,7.3,61,"127,320",36.91
Sherlock Holmes,2009,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,128 ,7.6,57,"603,031",209.03
The Mule,2018,A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.,116 ,7,58,"126,217",103.80
Panic Room,2002,"A divorced woman and her diabetic daughter take refuge in their newly-purchased house's safe room, when three men break-in, searching for a missing fortune.",112 ,6.8,65,"269,026",96.40
Wind River,2017,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,107 ,7.7,73,"224,251",33.80
American Psycho,2000,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",101 ,7.6,64,"525,972",15.07
Der blutige Pfad Gottes,1999,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,108 ,7.7,44,"232,813",0.03
L.A. Confidential,1997,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",138 ,8.2,90,"552,021",64.62
Kap der Angst,1991,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.",128 ,7.3,73,"183,282",79.10
Lord of War - Händler des Todes,2005,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,122 ,7.6,62,"303,020",24.15
Der Staatsfeind Nr. 1,1998,A lawyer becomes targeted by a corrupt politician and his N.S.A. goons when he accidentally receives key evidence to a politically motivated crime.,132 ,7.3,67,"234,571",111.55
Sicario,2015,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,121 ,7.6,82,"394,826",46.89
Ocean's Eleven,2001,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,116 ,7.7,74,"539,333",183.42
